Observation id	Daniel_Dyad10_A2C							
								
Media file(s)								
								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH040574.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH050574.MP4							
								
Observation date	2023-05-22 15:41:00							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
711.960	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Chases Female	Aggressive		POINT
719.753	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Bite	Aggressive		POINT
807.967	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Chases Male	Aggressive		POINT
807.967	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Subordinate	Flee	Other		POINT
828.874	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Entry /Exit Pot	Reproductive		POINT
855.061	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Entry /Exit Pot	Reproductive		POINT
861.769	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Subordinate	Chases Female	Aggressive		POINT
888.357	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Chases Female	Aggressive		POINT
889.774	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Subordinate	Bite	Aggressive		POINT
900.054	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Chases Female	Aggressive		POINT
914.820	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Bite	Aggressive		POINT
916.694	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Chases Female	Aggressive		POINT
926.824	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Foraging	Other		POINT
1018.672	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Bite	Aggressive		POINT
1019.421	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Bite	Aggressive		POINT
1022.177	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Subordinate	Chases Female	Aggressive		POINT
1042.827	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Foraging	Other		POINT
1082.464	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Chases Female	Aggressive		POINT
1090.257	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Subordinate	Chases Female	Aggressive		POINT
1098.049	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Chases Female	Aggressive		POINT
1121.066	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Foraging	Other		POINT
1128.511	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Subordinate	Chases Female	Aggressive		POINT
1140.793	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Chases Female	Aggressive		POINT
1154.014	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Bite	Aggressive		POINT
1204.608	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Chases Female	Aggressive		POINT
1214.230	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Subordinate	Bite	Aggressive		POINT
1219.897	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Subordinate	Chases Female	Aggressive		POINT
1250.360	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Subordinate	Bite	Aggressive		POINT
1271.925	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4	3401.830	59.94	Dominant	Chases Female	Aggressive		POINT
