Observation id	Dyad 9 A1C Foraging Dom ST							
								
Media file(s)								
								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4							
								
Observation date	2024-04-18 09:35:12							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
2125.759	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Subordinate	Lateral Side Display	Aggressive		POINT
2126.130	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4	2762.870	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
2131.031	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
2161.036	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
2169.808	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Dominant	Quiver Male	Aggressive		POINT
2171.558	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
2171.809	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
2172.812	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Dominant	Bite	Aggressive		POINT
2179.563	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Dominant	Mirror	Aggressive		POINT
2179.578	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Subordinate	bite female	Reproductive		POINT
2180.793	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Dominant	Foraging	Other		POINT
2257.408	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Subordinate	Bite	Aggressive		POINT
2276.812	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Dominant	Foraging	Other		POINT
2285.312	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Dominant	Mirror	Aggressive		POINT
2296.062	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Dominant	Flee	Other		POINT
2300.061	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Dominant	Flee	Other		POINT
2300.909	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Subordinate	Lateral Side Display	Aggressive		POINT
2358.064	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
2373.562	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Dominant	Chases Male	Aggressive		POINT
2373.661	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Subordinate	Flee	Other		POINT
2373.812	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Dominant	Bite	Aggressive		POINT
2374.812	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Dominant	Bite	Aggressive		POINT
2376.279	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4	2762.870	29.97	Subordinate	bite female	Reproductive		POINT
