Observation id	Dyad10_A2F_ST								
									
Media file(s)									
									
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX020537.MP4								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX030537.MP4								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX040537.MP4								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX050537.MP4								
									
Observation date	5/19/23 13:45								
									
Description									
									
Time offset (s)	0								
									
independent variables									
variable	value								
									
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status	
577.514	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Subordinate	Flee	Other		POINT	SubordinateFlee
583.682	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	Chases Female	Aggressive		POINT	DominantChases Female
590.69	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Subordinate	bite female	Reproductive		POINT	Subordinatebite female
598.453	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	Chases Female	Aggressive		POINT	DominantChases Female
602.865	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	bite female	Reproductive		POINT	Dominantbite female
628.368	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	Chases Female	Aggressive		POINT	DominantChases Female
637.488	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	bite female	Reproductive		POINT	Dominantbite female
642.245	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Subordinate	bite female	Reproductive		POINT	Subordinatebite female
650.243	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Subordinate	Foraging	Other		POINT	SubordinateForaging
677.249	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	Chases Female	Aggressive		POINT	DominantChases Female
