Observation id	Dyad.12.A2C.Nuzhat							
								
Media file(s)								
								
Player #1	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4							
Player #1	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX020555.MP4							
Player #1	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX030555.MP4							
Player #1	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX040555.MP4							
								
Observation date	2023-08-03 13:34:57							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
115.766	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
116.759	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Quiver female	Reproductive		POINT
117.273	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
118.273	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
118.273	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
120.014	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
121.013	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
122.269	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
123.021	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
123.763	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
123.770	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
126.024	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
126.035	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
127.278	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
128.015	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
131.014	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
131.030	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
131.527	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
132.778	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
133.014	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
133.028	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
133.785	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	bite female	Reproductive		POINT
134.014	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
135.286	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
135.696	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Dig Pot/Substrate	Reproductive		POINT
136.537	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
136.788	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Dig Pot/Substrate	Reproductive		POINT
138.042	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Dig Pot/Substrate	Reproductive		POINT
140.039	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	head on head fight	Aggressive		POINT
141.287	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	head on head fight	Aggressive		POINT
149.294	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
152.793	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
152.793	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
155.292	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
155.308	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
157.566	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	bite female	Reproductive		POINT
158.038	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Dominant	Chases Female	Aggressive		POINT
160.806	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2C/Vidoes/GX010555.MP4	3872.790	29.97	Subordinate	Chases Female	Aggressive		POINT
